"customer_number","order_number","product_code","quantity_ordered","price_each","order_line_number","order_date","required_date","shipped_date","status","comments","customer_name","contact_last_name","contact_first_name","city","state","country","sales_rep_employee_number","credit_limit","customer_location"
"363","10100","S18_1749","30","136.0","3","2003-01-06","2003-01-13","2003-01-10","Shipped","","Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA","1216","114200.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00.\xae\xf1\x99\xec\xddQ\xc0^;\x07\x85\xf7aE@'"
"363","10100","S18_2248","50","55.09","2","2003-01-06","2003-01-13","2003-01-10","Shipped","","Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA","1216","114200.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00.\xae\xf1\x99\xec\xddQ\xc0^;\x07\x85\xf7aE@'"
"363","10100","S18_4409","22","75.46","4","2003-01-06","2003-01-13","2003-01-10","Shipped","","Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA","1216","114200.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00.\xae\xf1\x99\xec\xddQ\xc0^;\x07\x85\xf7aE@'"
"363","10100","S24_3969","49","35.29","1","2003-01-06","2003-01-13","2003-01-10","Shipped","","Online Diecast Creations Co.","Young","Dorothy","Nashua","NH","USA","1216","114200.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00.\xae\xf1\x99\xec\xddQ\xc0^;\x07\x85\xf7aE@'"
"128","10101","S18_2325","25","108.06","4","2003-01-09","2003-01-18","2003-01-11","Shipped","Check on availability.","Blauer See Auto, Co.","Keitel","Roland","Frankfurt","","Germany","1504","59700.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00Xx\xf2Dk\\!@\x1e\x0f\xc7\x04F\x0eI@'"
"128","10101","S18_2795","26","167.06","1","2003-01-09","2003-01-18","2003-01-11","Shipped","Check on availability.","Blauer See Auto, Co.","Keitel","Roland","Frankfurt","","Germany","1504","59700.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00Xx\xf2Dk\\!@\x1e\x0f\xc7\x04F\x0eI@'"
"128","10101","S24_1937","45","32.53","3","2003-01-09","2003-01-18","2003-01-11","Shipped","Check on availability.","Blauer See Auto, Co.","Keitel","Roland","Frankfurt","","Germany","1504","59700.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00Xx\xf2Dk\\!@\x1e\x0f\xc7\x04F\x0eI@'"
"128","10101","S24_2022","46","44.35","2","2003-01-09","2003-01-18","2003-01-11","Shipped","Check on availability.","Blauer See Auto, Co.","Keitel","Roland","Frankfurt","","Germany","1504","59700.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00Xx\xf2Dk\\!@\x1e\x0f\xc7\x04F\x0eI@'"
"181","10102","S18_1342","39","95.55","2","2003-01-10","2003-01-18","2003-01-14","Shipped","","Vitachrome Inc.","Frick","Michael","NYC","NY","USA","1286","76400.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xf8I\xff\xdca\x80R\xc0,\xe7\x9c\xe9o[D@'"
"181","10102","S18_1367","41","43.13","1","2003-01-10","2003-01-18","2003-01-14","Shipped","","Vitachrome Inc.","Frick","Michael","NYC","NY","USA","1286","76400.0","b'\xe6\x10\x00\x00\x01\x01\x00\x00\x00\xf8I\xff\xdca\x80R\xc0,\xe7\x9c\xe9o[D@'"
"121","10103","S10_1949","26","214.3","11","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S10_4962","42","119.67","4","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S12_1666","27","121.64","8","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_1097","35","94.5","10","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_2432","22","58.34","2","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_2949","27","92.19","12","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_2957","35","61.84","14","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_3136","25","86.92","13","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_3320","46","86.31","16","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_4600","36","98.07","5","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
"121","10103","S18_4668","41","40.75","9","2003-01-29","2003-02-07","2003-02-02","Shipped","","Baane Mini Imports","Bergulfsen","Jonas ","Stavern","","Norway","1504","81700.0","b""\xe6\x10\x00\x00\x01\x01\x00\x00\x00\x12\xd4\x95t9\x12$@dB'\xdf\xc7\x7fM@"""
